pt,reporter_group,a,n_drug,n_reaction,N,ror,ror_lower95,ror_upper95,ror_pvalue,signal
SCHIZOAFFECTIVE DISORDER,Consumer,2,1000,62,1144866,,,,,False
PSYCHIATRIC DECOMPENSATION,Consumer,1,1000,48,1144866,,,,,False
INTRUSIVE THOUGHTS,Consumer,4,1000,194,1144866,27.1109,10.6235,69.1860,0.0000,True
TACHYPHRENIA,Consumer,3,1000,193,1144866,21.0651,7.3049,60.7449,0.0000,True
VOMITING PROJECTILE,Consumer,2,1000,317,1144866,,,,,False
PSYCHOTIC DISORDER,Consumer,11,1000,1162,1144866,11.5334,6.4305,20.6855,0.0000,True
MANIA,Consumer,9,1000,576,1144866,19.3030,10.1354,36.7628,0.0000,True
NEGATIVE THOUGHTS,Consumer,2,1000,230,1144866,,,,,False
PARANOIA,Consumer,8,1000,819,1144866,12.0633,6.1198,23.7793,0.0000,True
SCHIZOPHRENIA,Consumer,5,1000,469,1144866,13.5999,5.8538,31.5961,0.0000,True
SEDATION COMPLICATION,Consumer,0,1000,105,1144866,,,,,False
AKATHISIA,Consumer,5,1000,479,1144866,13.3131,5.7309,30.9268,0.0000,True
ANURIA,Consumer,2,1000,142,1144866,,,,,False
ANGER,Consumer,11,1000,1719,1144866,7.7695,4.3360,13.9219,0.0000,True
VOMITING,Consumer,185,1000,29182,1144866,8.7455,7.4534,10.2615,0.0000,True
DYSURIA,Consumer,19,1000,2161,1144866,10.5873,6.7491,16.6082,0.0000,True
DYSPEPSIA,Consumer,52,1000,7563,1144866,8.3735,6.3361,11.0662,0.0000,True
FEELING OF BODY TEMPERATURE CHANGE,Consumer,3,1000,438,1144866,9.2125,3.2119,26.4236,0.0000,True
HYPERHIDROSIS,Consumer,47,1000,6362,1144866,8.9730,6.6978,12.0209,0.0000,True
TREATMENT NONCOMPLIANCE,Consumer,21,1000,3841,1144866,6.5499,4.2672,10.0538,0.0000,True
THINKING ABNORMAL,Consumer,5,1000,906,1144866,7.0047,3.0222,16.2351,0.0000,True
NAUSEA,Consumer,202,1000,50196,1144866,5.5487,4.7545,6.4756,0.0000,True
COLD SWEAT,Consumer,7,1000,919,1144866,9.4556,4.5965,19.4515,0.0000,True
DRY MOUTH,Consumer,32,1000,5258,1144866,7.3107,5.1488,10.3804,0.0000,True
CONSTIPATION,Consumer,83,1000,20317,1144866,5.0537,4.0376,6.3256,0.0000,True
HICCUPS,Consumer,1,1000,502,1144866,,,,,False
DELUSION,Consumer,3,1000,1069,1144866,3.7598,1.3141,10.7573,0.0135,True
VISION BLURRED,Consumer,44,1000,8471,1144866,6.2682,4.6374,8.4724,0.0000,True
