pt,a,n_reaction,n_drug,N,b,c,d,expected,ror,ror_lower95,ror_upper95,signal_ror
VOMITING,204,50525,1069,2154081,865,50321,2102691,25.0739,9.8730,8.4753,11.5012,True
ABDOMINAL DISCOMFORT,27,18861,1069,2154081,1042,18834,2134178,9.3601,2.9891,2.0463,4.3662,True
HYPERHIDROSIS,43,10724,1069,2154081,1026,10681,2142331,5.3220,8.4993,6.2713,11.5189,True
MOOD ALTERED,3,2642,1069,2154081,1066,2639,2150373,1.3111,2.6736,0.9355,7.6408,False
TACHYPHRENIA,3,277,1069,2154081,1066,274,2152738,0.1375,25.7369,8.9522,73.9919,True
DYSPNOEA,9,56380,1069,2154081,1060,56371,2096641,27.9796,0.3332,0.1759,0.6311,False
HEPATIC ENZYME INCREASED,5,8967,1069,2154081,1064,8962,2144050,4.4500,1.2360,0.5346,2.8578,False
RASH,9,52143,1069,2154081,1060,52134,2100878,25.8769,0.3610,0.1906,0.6838,False
URTICARIA,5,20637,1069,2154081,1064,20632,2132380,10.2415,0.5340,0.2310,1.2345,False
BLOOD PRESSURE INCREASED,15,15880,1069,2154081,1054,15865,2137147,7.8807,1.9800,1.1989,3.2701,True
TACHYCARDIA,10,8885,1069,2154081,1059,8875,2144137,4.4093,2.3941,1.3032,4.3984,True
FLUSHING,3,7166,1069,2154081,1066,7163,2145849,3.5563,0.9831,0.3441,2.8082,False
VOMITING PROJECTILE,4,434,1069,2154081,1065,430,2152582,0.2154,21.1177,8.3261,53.5609,True
ABNORMAL BEHAVIOUR,6,2018,1069,2154081,1063,2012,2151000,1.0015,6.5325,3.0175,14.1420,True
DIARRHOEA,27,73678,1069,2154081,1042,73651,2079361,36.5640,0.7447,0.5099,1.0876,False
VERTIGO,3,5473,1069,2154081,1066,5470,2147542,2.7161,1.2883,0.4510,3.6805,False
IRRITABILITY,6,4383,1069,2154081,1063,4377,2148635,2.1751,2.9999,1.3867,6.4901,True
DIZZINESS,60,48732,1069,2154081,1009,48672,2104340,24.1841,2.5911,1.9987,3.3591,True
LETHARGY,5,4723,1069,2154081,1064,4718,2148294,2.3439,2.3524,1.0172,5.4402,True
HYPERSOMNIA,3,2900,1069,2154081,1066,2897,2150115,1.4392,2.4353,0.8522,6.9592,False
SLEEP DISORDER,5,9376,1069,2154081,1064,9371,2143641,4.6530,1.1818,0.5112,2.7325,False
RETCHING,4,2211,1069,2154081,1065,2207,2150805,1.0972,4.1149,1.6287,10.3964,True
COLD SWEAT,5,1528,1069,2154081,1064,1523,2151489,0.7583,7.2965,3.1518,16.8913,True
SCHIZOAFFECTIVE DISORDER,3,180,1069,2154081,1066,177,2152835,0.0893,39.8034,13.7950,114.8464,True
CHILLS,7,10994,1069,2154081,1062,10987,2142025,5.4560,1.3761,0.6709,2.8228,False
GASTROOESOPHAGEAL REFLUX DISEASE,29,9064,1069,2154081,1040,9035,2143977,4.4982,6.7274,4.6630,9.7057,True
MOVEMENT DISORDER,7,2846,1069,2154081,1062,2839,2150173,1.4124,5.3452,2.6040,10.9721,True
ACCIDENTAL OVERDOSE,3,4969,1069,2154081,1066,4966,2148046,2.4660,1.4194,0.4968,4.0551,False
SEDATION,7,3869,1069,2154081,1062,3862,2149150,1.9201,3.9276,1.9139,8.0602,True
DYSPHONIA,5,6326,1069,2154081,1064,6321,2146691,3.1394,1.7546,0.7588,4.0572,False
ADVERSE DRUG REACTION,3,12641,1069,2154081,1066,12638,2140374,6.2733,0.5558,0.1946,1.5875,False
SOMNOLENCE,27,19175,1069,2154081,1042,19148,2133864,9.5159,2.9396,2.0124,4.2939,True
AGITATION,12,5360,1069,2154081,1057,5348,2147664,2.6600,4.7464,2.7158,8.2951,True
MANIA,11,1254,1069,2154081,1058,1243,2151769,0.6223,18.8000,10.4866,33.7038,True
HYPOAESTHESIA,3,14081,1069,2154081,1066,14078,2138934,6.9879,0.4986,0.1746,1.4241,False
INTESTINAL OBSTRUCTION,4,5228,1069,2154081,1065,5224,2147788,2.5945,1.7362,0.6876,4.3842,False
OVERDOSE,4,13650,1069,2154081,1065,13646,2139366,6.7740,0.6621,0.2623,1.6715,False
BRAIN FOG,6,7472,1069,2154081,1063,7466,2145546,3.7081,1.7563,0.8120,3.7987,False
FEELING HOT,6,5533,1069,2154081,1063,5527,2147485,2.7458,2.3745,1.0977,5.1365,True
DROOLING,26,794,1069,2154081,1043,768,2152244,0.3940,71.1215,48.0581,105.2533,True
APATHY,3,1500,1069,2154081,1066,1497,2151515,0.7444,4.7150,1.6490,13.4821,True
DYSSTASIA,3,2348,1069,2154081,1066,2345,2150667,1.1652,3.0092,1.0528,8.6005,True
ASTHENIA,9,37338,1069,2154081,1060,37329,2115683,18.5296,0.5077,0.2680,0.9617,False
FALL,3,33546,1069,2154081,1066,33543,2119469,16.6478,0.2074,0.0726,0.5922,False
CHEST PAIN,16,15572,1069,2154081,1053,15556,2137456,7.7279,2.1520,1.3229,3.5005,True
DRY MOUTH,30,8812,1069,2154081,1039,8782,2144230,4.3731,7.1636,4.9945,10.2747,True
CONFUSIONAL STATE,12,14529,1069,2154081,1057,14517,2138495,7.2103,1.7412,0.9967,3.0418,False
DISTURBANCE IN ATTENTION,5,3877,1069,2154081,1064,3872,2149140,1.9240,2.8674,1.2398,6.6320,True
FEELING OF BODY TEMPERATURE CHANGE,3,582,1069,2154081,1066,579,2152433,0.2888,12.1894,4.2547,34.9216,True
DELUSION,4,1670,1069,2154081,1065,1666,2151346,0.8288,5.4521,2.1573,13.7790,True
