pt,age_group,a,n_drug,n_reaction,N,ror,ror_lower95,ror_upper95,ror_pvalue,signal
PSYCHOTIC DISORDER,≥65,1,53,227,413252,,,,,False
PARANOIA,≥65,0,53,167,413252,,,,,False
SEDATION COMPLICATION,≥65,0,53,83,413252,,,,,False
MANIA,≥65,0,53,103,413252,,,,,False
AKATHISIA,≥65,0,53,54,413252,,,,,False
ANGER,≥65,0,53,198,413252,,,,,False
SCHIZOPHRENIA,≥65,0,53,57,413252,,,,,False
VOMITING,≥65,9,53,9119,413252,9.4689,4.6983,19.0835,0.0000,True
ANURIA,≥65,0,53,190,413252,,,,,False
HICCUPS,≥65,0,53,263,413252,,,,,False
DELUSION,≥65,0,53,341,413252,,,,,False
DYSURIA,≥65,3,53,956,413252,29.9649,10.1229,88.6991,0.0000,True
NAUSEA,≥65,12,53,14840,413252,8.0919,4.2986,15.2329,0.0000,True
DYSPEPSIA,≥65,3,53,2164,413252,13.1797,4.4571,38.9726,0.0000,True
THINKING ABNORMAL,≥65,0,53,196,413252,,,,,False
TREATMENT NONCOMPLIANCE,≥65,0,53,1314,413252,,,,,False
HYPERHIDROSIS,≥65,2,53,1961,413252,,,,,False
CONSTIPATION,≥65,6,53,7610,413252,7.2986,3.2145,16.5716,0.0000,True
COLD SWEAT,≥65,0,53,337,413252,,,,,False
"HALLUCINATION, VISUAL",≥65,1,53,717,413252,,,,,False
GASTROOESOPHAGEAL REFLUX DISEASE,≥65,1,53,1784,413252,,,,,False
DRY MOUTH,≥65,3,53,1732,413252,16.4890,5.5751,48.7685,0.0000,True
VISION BLURRED,≥65,0,53,2941,413252,,,,,False
EXTRAPYRAMIDAL DISORDER,≥65,0,53,141,413252,,,,,False
MOVEMENT DISORDER,≥65,1,53,781,413252,,,,,False
PRODUCT SUPPLY ISSUE,≥65,0,53,324,413252,,,,,False
INCREASED APPETITE,≥65,1,53,437,413252,,,,,False
SEDATION,≥65,0,53,521,413252,,,,,False
AGGRESSION,≥65,0,53,530,413252,,,,,False
RETCHING,≥65,0,53,396,413252,,,,,False
ADVERSE EVENT,≥65,0,53,1487,413252,,,,,False
ABNORMAL BEHAVIOUR,≥65,0,53,241,413252,,,,,False
TACHYCARDIA,≥65,0,53,1343,413252,,,,,False
HEART RATE INCREASED,≥65,3,53,1918,413252,14.8812,5.0319,44.0087,0.0000,True
SUICIDAL IDEATION,≥65,1,53,631,413252,,,,,False
HYPERSOMNIA,≥65,0,53,599,413252,,,,,False
DYSKINESIA,≥65,0,53,1062,413252,,,,,False
GASTROINTESTINAL DISORDER,≥65,1,53,2689,413252,,,,,False
PRODUCT ADMINISTRATION ERROR,≥65,1,53,647,413252,,,,,False
AGITATION,≥65,0,53,889,413252,,,,,False
THERAPEUTIC RESPONSE UNEXPECTED,≥65,1,53,618,413252,,,,,False
TREMOR,≥65,0,53,3410,413252,,,,,False
SOMNOLENCE,≥65,2,53,3388,413252,,,,,False
HALLUCINATION,≥65,0,53,2399,413252,,,,,False
ABDOMINAL DISCOMFORT,≥65,1,53,3456,413252,,,,,False
DYSPHAGIA,≥65,1,53,2174,413252,,,,,False
