drug_b,pt,ror,ror_lower95,ror_upper95,a_cobenfy,n_cobenfy,a_comparator,n_comparator,p_value,bonferroni_sig
risperidone,SEDATION,0.3279,0.1840,0.5844,12,1423,164,6254,0.0002,True
risperidone,ELECTROCARDIOGRAM QT PROLONGED,0.0308,0.0019,0.4978,0,1423,70,6254,0.0142,False
risperidone,URINARY RETENTION,6.6676,4.8251,9.2135,92,1423,64,6254,0.0000,True
risperidone,DRY MOUTH,6.7796,4.0127,11.4547,35,1423,23,6254,0.0000,True
risperidone,VISION BLURRED,5.3745,3.5591,8.1160,50,1423,42,6254,0.0000,True
risperidone,INSOMNIA,1.1462,0.7559,1.7379,28,1423,109,6254,0.5205,False
risperidone,HEADACHE,1.6716,1.0822,2.5820,28,1423,75,6254,0.0206,False
risperidone,DIZZINESS,4.3322,3.0400,6.1736,61,1423,64,6254,0.0000,True
aripiprazole,NAUSEA,6.7768,5.6396,8.1434,314,1423,221,5516,0.0000,True
aripiprazole,VOMITING,6.8357,5.5391,8.4358,239,1423,158,5516,0.0000,True
aripiprazole,CONSTIPATION,3.9343,3.0103,5.1419,110,1423,115,5516,0.0000,True
aripiprazole,DYSPEPSIA,5.3394,3.5021,8.1407,51,1423,38,5516,0.0000,True
aripiprazole,DIARRHOEA,1.2559,0.8315,1.8970,30,1423,94,5516,0.2788,False
aripiprazole,TACHYCARDIA,1.7378,1.0538,2.8659,22,1423,50,5516,0.0304,False
aripiprazole,HYPERTENSION,0.6266,0.3820,1.0279,18,1423,113,5516,0.0642,False
aripiprazole,BLOOD PRESSURE INCREASED,5.2683,2.4514,11.3224,15,1423,11,5516,0.0000,True
aripiprazole,WEIGHT INCREASED,0.1041,0.0562,0.1928,10,1423,367,5516,0.0000,True
aripiprazole,HYPERGLYCAEMIA,0.0821,0.0050,1.3527,0,1423,23,5516,0.0803,False
aripiprazole,DIABETES MELLITUS,0.0346,0.0021,0.5599,0,1423,55,5516,0.0179,False
aripiprazole,METABOLIC SYNDROME,0.0728,0.0044,1.1949,0,1423,26,5516,0.0665,False
aripiprazole,BLOOD GLUCOSE INCREASED,0.1501,0.0293,0.7676,1,1423,38,5516,0.0227,False
aripiprazole,DYSLIPIDAEMIA,0.0653,0.0040,1.0700,0,1423,29,5516,0.0558,False
aripiprazole,DYSTONIA,0.0329,0.0066,0.1642,1,1423,171,5516,0.0000,True
aripiprazole,AKATHISIA,0.1167,0.0563,0.2419,7,1423,239,5516,0.0000,True
aripiprazole,PARKINSONISM,0.0788,0.0225,0.2759,2,1423,120,5516,0.0001,True
