pt,a,n_reaction,n_drug,N,b,c,d,expected,prr,prr_lower95,prr_upper95,prr_chi2,ror,ror_lower95,ror_upper95,ic,ic025,ic975,signal_prr,signal_ror,signal_bcpnn,n_methods_signal
DRUG INTOLERANCE,9,6698,758,1009215,749,6689,1001768,5.0307,1.8869,1.0026,3.5512,2.4103,1.8981,1.0005,3.6011,0.9161,-0.0013,1.8335,False,True,False,1
DYSPEPSIA,13,3550,758,1009215,745,3537,1004920,2.6663,5.0705,2.9854,8.6119,36.4229,5.1442,3.0000,8.8211,2.3389,1.5693,3.1085,True,True,True,3
SUICIDAL IDEATION,10,3334,758,1009215,748,3324,1005133,2.5041,4.1964,2.2993,7.6588,19.6246,4.2413,2.3044,7.8061,2.0669,1.1942,2.9395,True,True,True,3
TREATMENT NONCOMPLIANCE,22,3974,758,1009215,736,3952,1004505,2.9848,7.5636,5.0285,11.3767,115.3942,7.7641,5.0982,11.8241,2.9131,2.3170,3.5092,True,True,True,3
URINARY INCONTINENCE,3,1022,758,1009215,755,1019,1007438,0.7676,4.5614,1.6009,12.9964,3.9167,4.5779,1.5990,13.1066,2.1873,0.6758,3.6987,False,True,True,2
URINARY RETENTION,56,1777,758,1009215,702,1721,1006736,1.3347,43.6071,33.7830,56.2881,2203.7462,47.0339,35.7210,61.9296,5.4023,5.0262,5.7785,True,True,True,3
SCHIZOPHRENIA,8,962,758,1009215,750,954,1007503,0.7225,11.8320,6.0455,23.1573,63.6816,11.9547,6.0623,23.5746,3.5546,2.5847,4.5245,True,True,True,3
PSYCHIATRIC DECOMPENSATION,3,196,758,1009215,755,193,1008264,0.1472,24.0327,8.3705,69.0006,37.6387,24.1394,8.3674,69.6406,4.5668,3.0553,6.0782,True,True,True,3
VOMITING,112,21343,758,1009215,646,21231,987226,16.0303,7.0402,5.9333,8.3537,581.2992,8.0913,6.6201,9.8896,2.8101,2.5435,3.0767,True,True,True,3
HYPERHIDROSIS,15,4362,758,1009215,743,4347,1004110,3.2762,4.7371,2.8915,7.7604,38.6470,4.8150,2.9091,7.9694,2.2411,1.5228,2.9593,True,True,True,3
ABDOMINAL DISCOMFORT,12,6619,758,1009215,746,6607,1001850,4.9714,2.5136,1.4497,4.3580,8.6367,2.5389,1.4509,4.4426,1.3291,0.5294,2.1289,True,True,True,3
SEIZURE,3,6698,758,1009215,755,6695,1001762,5.0307,0.6945,0.2441,1.9759,0.4692,0.6931,0.2425,1.9814,-0.5245,-2.0359,0.9870,False,False,False,0
DIARRHOEA,19,26853,758,1009215,739,26834,981623,20.1687,0.9655,0.6229,1.4966,0.0228,0.9646,0.6152,1.5125,-0.0496,-0.6900,0.5907,False,False,False,0
DIZZINESS,17,16593,758,1009215,741,16576,991881,12.4627,1.4027,0.8825,2.2294,1.3308,1.4122,0.8789,2.2692,0.4887,-0.1872,1.1647,False,False,False,0
HYPERSOMNIA,5,685,758,1009215,753,680,1007777,0.5145,10.7387,4.6541,24.7777,30.9181,10.8098,4.6567,25.0933,3.4162,2.2105,4.6219,True,True,True,3
