pt,a,expected,ebgm_old,ebgm,eb05_old,eb05,n_methods_signal
PRODUCT AVAILABILITY ISSUE,4,4.7605,0.8450,0.8812,0.4019,0.3760,0
IMPAIRED GASTRIC EMPTYING,3,3.6530,0.8345,0.8753,0.3654,0.3288,0
TASTE DISORDER,3,3.7281,0.8230,0.8581,0.3604,0.3223,0
URINARY TRACT INFECTION,13,16.3649,0.7997,0.8064,0.5104,0.5033,0
HOSPITALISATION,13,16.9991,0.7728,0.7765,0.4932,0.4847,0
VISUAL IMPAIRMENT,9,11.9203,0.7675,0.7719,0.4515,0.4374,0
THERAPY INTERRUPTED,11,14.5711,0.7653,0.7687,0.4713,0.4602,0
ANXIETY,15,19.8702,0.7627,0.7650,0.5011,0.4935,0
INSURANCE ISSUE,3,4.2169,0.7552,0.7608,0.3310,0.2856,0
THERAPY CESSATION,3,4.4063,0.7320,0.7287,0.3209,0.2735,0
FLUSHING,4,5.8484,0.7242,0.7198,0.3447,0.3070,0
THERAPEUTIC RESPONSE DECREASED,4,5.8810,0.7211,0.7159,0.3432,0.3053,0
DRY EYE,5,7.3525,0.7142,0.7085,0.3617,0.3303,0
HEADACHE,35,50.7271,0.6954,0.6940,0.5259,0.5221,0
ABDOMINAL PAIN,14,20.8879,0.6846,0.6802,0.4436,0.4320,0
MEMORY IMPAIRMENT,7,10.6733,0.6842,0.6756,0.3786,0.3545,0
WEIGHT INCREASED,13,20.5100,0.6514,0.6442,0.4158,0.4020,0
FLATULENCE,3,5.0200,0.6658,0.6412,0.2919,0.2406,0
DIARRHOEA,38,60.1305,0.6383,0.6355,0.4881,0.4836,0
GAIT DISTURBANCE,8,13.8407,0.6098,0.5937,0.3487,0.3248,0
EPISTAXIS,3,5.6713,0.6077,0.5686,0.2663,0.2132,0
HYPOAESTHESIA,6,11.4919,0.5672,0.5415,0.3015,0.2697,0
BALANCE DISORDER,3,6.0426,0.5789,0.5341,0.2536,0.2002,0
HOT FLUSH,5,9.9812,0.5551,0.5235,0.2809,0.2439,0
ILLNESS,12,23.5142,0.5349,0.5198,0.3356,0.3181,0
HAEMATOCHEZIA,3,6.2140,0.5665,0.5196,0.2481,0.1948,0
MALAISE,15,31.3735,0.4987,0.4853,0.3275,0.3130,0
CONDITION AGGRAVATED,18,37.9694,0.4914,0.4800,0.3342,0.3219,0
OVERDOSE,5,11.1401,0.5055,0.4694,0.2557,0.2187,0
SEIZURE,6,13.3502,0.4978,0.4665,0.2644,0.2323,0
FATIGUE,32,70.4316,0.4644,0.4575,0.3468,0.3396,0
DRUG INTERACTION,5,11.4813,0.4925,0.4555,0.2491,0.2122,0
ABDOMINAL DISTENSION,4,9.6964,0.4819,0.4365,0.2289,0.1859,0
DRUG INEFFECTIVE,44,101.7667,0.4398,0.4346,0.3426,0.3373,0
EXTRA DOSE ADMINISTERED,3,7.4822,0.4891,0.4323,0.2138,0.1619,0
URTICARIA,7,16.8424,0.4582,0.4293,0.2532,0.2251,0
DISCOMFORT,3,7.7450,0.4756,0.4178,0.2078,0.1565,0
RASH,17,42.5552,0.4181,0.4049,0.2812,0.2683,0
ASTHENIA,12,30.4725,0.4197,0.4014,0.2632,0.2456,0
CEREBROVASCULAR ACCIDENT,3,9.3536,0.4068,0.3464,0.1773,0.1296,0
CHEST DISCOMFORT,3,9.3699,0.4062,0.3458,0.1770,0.1294,0
MIGRAINE,3,9.5503,0.3997,0.3393,0.1741,0.1269,0
PERIPHERAL SWELLING,5,15.5994,0.3758,0.3357,0.1896,0.1563,0
WRONG TECHNIQUE IN PRODUCT USAGE PROCESS,6,19.8971,0.3474,0.3135,0.1840,0.1560,0
PRODUCT STORAGE ERROR,4,14.0659,0.3488,0.3014,0.1650,0.1283,0
HYPERSENSITIVITY,4,14.9816,0.3296,0.2831,0.1557,0.1204,0
GENERAL PHYSICAL HEALTH DETERIORATION,3,13.9868,0.2863,0.2319,0.1237,0.0866,0
MUSCLE SPASMS,3,14.1426,0.2834,0.2293,0.1224,0.0856,0
PRODUCT DOSE OMISSION ISSUE,15,67.2218,0.2394,0.2267,0.1569,0.1462,0
ALOPECIA,3,14.4552,0.2779,0.2244,0.1199,0.0838,0
HYPOTENSION,3,15.1914,0.2656,0.2135,0.1145,0.0797,0
DYSPNOEA,9,46.0131,0.2198,0.2008,0.1286,0.1136,0
COVID-19,3,20.1126,0.2046,0.1612,0.0874,0.0601,0
DEATH,10,65.4304,0.1707,0.1565,0.1022,0.0912,0
PRURITUS,7,47.2275,0.1729,0.1533,0.0946,0.0802,0
FALL,3,27.3777,0.1520,0.1183,0.0641,0.0440,0
PAIN,3,44.3107,0.0937,0.0729,0.0385,0.0270,0
