pt,a,expected,n_drug,n_reaction,N,prr,prr_lower95,prr_upper95,prr_chi2,ror,ror_lower95,ror_upper95,ebgm,eb05,ebgm_Q,ic,ic025,ic975,signal_prr,signal_ror,signal_ebgm,signal_bcpnn,n_methods_signal,ror_pvalue,ror_fdr,signal_ror_fdr
IRRITABILITY,5,2.8942,1423,3679,1808849,1.8998,0.8245,4.3777,0.8934,1.9033,0.8233,4.3999,1.7653,0.8237,0.0933,0.9256,-0.2802,2.1313,False,False,False,False,0,0.1322,0.2104,False
PRODUCT USE COMPLAINT,4,2.4057,1423,3058,1808849,1.8699,0.7428,4.7071,0.4990,1.8727,0.7418,4.7278,1.7109,0.7305,0.0943,0.9027,-0.4302,2.2357,False,False,False,False,0,0.1843,0.2769,False
POLLAKIURIA,4,2.7455,1423,3490,1808849,1.6382,0.6509,4.1235,0.2079,1.6402,0.6498,4.1407,1.5064,0.6431,0.0966,0.7121,-0.6209,2.0451,False,False,False,False,0,0.2949,0.3968,False
HOT FLUSH,4,8.8880,1423,11298,1808849,0.5057,0.2010,1.2724,2.1817,0.5041,0.1998,1.2721,0.4755,0.2024,0.1315,-0.9825,-2.3155,0.3505,False,False,False,False,0,0.1470,0.2314,False
SPEECH DISORDER,4,2.9281,1423,3722,1808849,1.5360,0.6103,3.8661,0.1120,1.5377,0.6092,3.8817,1.4154,0.6042,0.0979,0.6193,-0.7137,1.9523,False,False,False,False,0,0.3624,0.4584,False
ABDOMINAL DISTENSION,4,7.8488,1423,9977,1808849,0.5727,0.2276,1.4409,1.4379,0.5713,0.2264,1.4417,0.5379,0.2291,0.1267,-0.8031,-2.1361,0.5299,False,False,False,False,0,0.2359,0.3330,False
PRODUCT AVAILABILITY ISSUE,4,4.0326,1423,5126,1808849,1.1150,0.4431,2.8060,0.0544,1.1154,0.4419,2.8152,1.0366,0.4422,0.1054,0.1576,-1.1754,1.4906,False,False,False,False,0,0.8172,0.8422,False
THERAPEUTIC RESPONSE DECREASED,4,4.8570,1423,6174,1808849,0.9256,0.3678,2.3293,0.0264,0.9254,0.3667,2.3355,0.8638,0.3683,0.1106,-0.1108,-1.4437,1.2222,False,False,False,False,0,0.8696,0.8815,False
SEIZURE,4,10.6919,1423,13591,1808849,0.4204,0.1671,1.0576,3.6158,0.4185,0.1659,1.0561,0.3957,0.1684,0.1391,-1.2491,-2.5821,0.0839,False,False,False,False,0,0.0651,0.1121,False
HYPOAESTHESIA,5,9.5622,1423,12155,1808849,0.5745,0.2494,1.3233,1.7387,0.5729,0.2479,1.3238,0.5459,0.2542,0.1258,-0.7985,-2.0042,0.4073,False,False,False,False,0,0.1924,0.2847,False
VERTIGO,4,3.5299,1423,4487,1808849,1.2739,0.5062,3.2061,0.0003,1.2748,0.5051,3.2177,1.1804,0.5037,0.1021,0.3496,-0.9833,1.6826,False,False,False,False,0,0.6073,0.6707,False
EPISTAXIS,3,4.6029,1423,5851,1808849,0.7596,0.2667,2.1634,0.2653,0.7590,0.2658,2.1673,0.6977,0.2616,0.1180,-0.3958,-1.9073,1.1156,False,False,False,False,0,0.6065,0.6707,False
BLOOD CREATININE INCREASED,4,3.7415,1423,4756,1808849,1.2018,0.4775,3.0246,0.0156,1.2025,0.4764,3.0350,1.1153,0.4758,0.1035,0.2657,-1.0673,1.5986,False,False,False,False,0,0.6963,0.7468,False
PRODUCT DISTRIBUTION ISSUE,3,2.2664,1423,2881,1808849,1.5433,0.5417,4.3971,0.0241,1.5446,0.5408,4.4123,1.3895,0.5221,0.0990,0.6262,-0.8853,2.1376,False,False,False,False,0,0.4168,0.5043,False
ACCIDENTAL OVERDOSE,3,3.4268,1423,4356,1808849,1.0204,0.3582,2.9067,0.0016,1.0205,0.3573,2.9143,0.9314,0.3495,0.1090,0.0298,-1.4816,1.5413,False,False,False,False,0,0.9698,0.9698,False
RESTLESSNESS,4,2.0281,1423,2578,1808849,2.2186,0.8812,5.5854,1.0706,2.2224,0.8802,5.6115,2.0146,0.8605,0.0917,1.1490,-0.1840,2.4820,False,False,False,False,0,0.0910,0.1531,False
DISTURBANCE IN ATTENTION,4,2.6181,1423,3328,1808849,1.7181,0.6825,4.3246,0.2978,1.7203,0.6815,4.3430,1.5770,0.6733,0.0957,0.7807,-0.5523,2.1137,False,False,False,False,0,0.2509,0.3438,False
THROAT TIGHTNESS,3,1.6772,1423,2132,1808849,2.0861,0.7320,5.9450,0.4044,2.0888,0.7311,5.9680,1.8509,0.6961,0.0937,1.0604,-0.4510,2.5719,False,False,False,False,0,0.1691,0.2606,False
PHARYNGEAL SWELLING,3,1.2634,1423,1606,1808849,2.7704,0.9719,7.8974,1.2123,2.7748,0.9709,7.9302,2.4131,0.9081,0.0904,1.4691,-0.0424,2.9805,False,False,False,False,0,0.0568,0.1013,False
URINARY INCONTINENCE,3,1.7638,1423,2242,1808849,1.9837,0.6961,5.6527,0.3080,1.9861,0.6952,5.6742,1.7648,0.6636,0.0944,0.9879,-0.5236,2.4993,False,False,False,False,0,0.2002,0.2904,False
PAIN,3,36.3497,1423,46206,1808849,0.0961,0.0338,0.2738,30.4889,0.0939,0.0329,0.2681,0.0888,0.0330,0.2224,-3.3770,-4.8885,-1.8656,False,False,False,False,0,0.0000,0.0000,True
EMOTIONAL DISORDER,3,2.0910,1423,2658,1808849,1.6729,0.5871,4.7666,0.0802,1.6746,0.5862,4.7836,1.5009,0.5641,0.0974,0.7424,-0.7691,2.2538,False,False,False,False,0,0.3357,0.4397,False
FLUSHING,3,4.6415,1423,5900,1808849,0.7533,0.2645,2.1455,0.2819,0.7527,0.2636,2.1493,0.6920,0.2594,0.1182,-0.4079,-1.9193,1.1036,False,False,False,False,0,0.5956,0.6678,False
PERIPHERAL SWELLING,3,12.8057,1423,16278,1808849,0.2730,0.0959,0.7773,6.8291,0.2712,0.0950,0.7742,0.2529,0.0944,0.1606,-1.8719,-3.3834,-0.3605,False,False,False,False,0,0.0148,0.0295,True
FLATULENCE,3,4.0239,1423,5115,1808849,0.8689,0.3051,2.4750,0.0685,0.8686,0.3042,2.4805,0.7961,0.2986,0.1137,-0.2019,-1.7133,1.3096,False,False,False,False,0,0.7925,0.8318,False
LIMB DISCOMFORT,3,2.0894,1423,2656,1808849,1.6742,0.5876,4.7702,0.0809,1.6758,0.5866,4.7872,1.5020,0.5646,0.0974,0.7435,-0.7680,2.2549,False,False,False,False,0,0.3350,0.4397,False
IMPAIRED GASTRIC EMPTYING,3,3.0956,1423,3935,1808849,1.1297,0.3966,3.2180,0.0530,1.1300,0.3957,3.2272,1.0282,0.3860,0.1062,0.1764,-1.3350,1.6879,False,False,False,False,0,0.8195,0.8422,False
HYPERSENSITIVITY,3,12.4320,1423,15803,1808849,0.2812,0.0987,0.8006,6.4790,0.2794,0.0979,0.7976,0.2605,0.0972,0.1591,-1.8292,-3.3406,-0.3177,False,False,False,False,0,0.0172,0.0334,True
HYPOTENSION,3,12.4076,1423,15772,1808849,0.2817,0.0989,0.8022,6.4563,0.2799,0.0981,0.7992,0.2610,0.0974,0.1590,-1.8264,-3.3378,-0.3149,False,False,False,False,0,0.0174,0.0334,True
THERAPY CESSATION,3,3.4127,1423,4338,1808849,1.0247,0.3597,2.9188,0.0022,1.0247,0.3588,2.9265,0.9351,0.3509,0.1089,0.0358,-1.4757,1.5472,False,False,False,False,0,0.9636,0.9698,False
ERUCTATION,3,1.8574,1423,2361,1808849,1.8836,0.6610,5.3673,0.2228,1.8858,0.6601,5.3874,1.6803,0.6318,0.0953,0.9133,-0.5982,2.4247,False,False,False,False,0,0.2363,0.3330,False
COVID-19,3,17.9255,1423,22786,1808849,0.1950,0.0685,0.5552,11.7662,0.1930,0.0676,0.5510,0.1806,0.0673,0.1785,-2.3571,-3.8686,-0.8457,False,False,False,False,0,0.0021,0.0047,True
PRODUCT STORAGE ERROR,3,11.2009,1423,14238,1808849,0.3121,0.1096,0.8887,5.3407,0.3104,0.1087,0.8861,0.2890,0.1079,0.1540,-1.6787,-3.1902,-0.1673,False,False,False,False,0,0.0288,0.0540,False
