drug_a,drug_b,pt,a_cobenfy,n_cobenfy,pct_cobenfy,a_comparator,n_comparator,pct_comparator,ror,ror_lower95,ror_upper95,p_value,bonferroni_sig
xanomeline-trospium,risperidone,BLOOD PRESSURE INCREASED,21,1758,1.1945,9,7380,0.1220,9.6017,4.4663,20.6415,0.0000,True
xanomeline-trospium,risperidone,WEIGHT INCREASED,13,1758,0.7395,509,7380,6.8970,0.1043,0.0606,0.1795,0.0000,True
xanomeline-trospium,risperidone,HYPERGLYCAEMIA,0,1758,0.0000,11,7380,0.1491,0.1822,0.0107,3.0936,0.2386,False
xanomeline-trospium,risperidone,DIABETES MELLITUS,0,1758,0.0000,20,7380,0.2710,0.1021,0.0062,1.6888,0.1109,False
xanomeline-trospium,risperidone,METABOLIC SYNDROME,0,1758,0.0000,12,7380,0.1626,0.1676,0.0099,2.8324,0.2156,False
xanomeline-trospium,risperidone,BLOOD GLUCOSE INCREASED,2,1758,0.1138,46,7380,0.6233,0.2245,0.0628,0.8023,0.0215,False
xanomeline-trospium,risperidone,DYSLIPIDAEMIA,0,1758,0.0000,25,7380,0.3388,0.0820,0.0050,1.3479,0.0800,False
xanomeline-trospium,risperidone,DYSTONIA,1,1758,0.0569,177,7380,2.3984,0.0346,0.0069,0.1729,0.0000,True
xanomeline-trospium,risperidone,AKATHISIA,8,1758,0.4551,175,7380,2.3713,0.1994,0.1000,0.3976,0.0000,True
xanomeline-trospium,risperidone,PARKINSONISM,2,1758,0.1138,121,7380,1.6396,0.0850,0.0243,0.2978,0.0001,True
xanomeline-trospium,risperidone,TARDIVE DYSKINESIA,2,1758,0.1138,102,7380,1.3821,0.1011,0.0288,0.3548,0.0003,False
xanomeline-trospium,risperidone,EXTRAPYRAMIDAL DISORDER,4,1758,0.2275,355,7380,4.8103,0.0507,0.0200,0.1286,0.0000,True
xanomeline-trospium,risperidone,TREMOR,27,1758,1.5358,195,7380,2.6423,0.5837,0.3903,0.8731,0.0088,False
xanomeline-trospium,risperidone,HYPERPROLACTINAEMIA,0,1758,0.0000,162,7380,2.1951,0.0126,0.0008,0.2029,0.0020,False
xanomeline-trospium,risperidone,GALACTORRHOEA,0,1758,0.0000,76,7380,1.0298,0.0271,0.0017,0.4382,0.0110,False
xanomeline-trospium,risperidone,AMENORRHOEA,0,1758,0.0000,33,7380,0.4472,0.0624,0.0038,1.0183,0.0515,False
xanomeline-trospium,risperidone,SOMNOLENCE,42,1758,2.3891,318,7380,4.3089,0.5490,0.3969,0.7594,0.0003,False
xanomeline-trospium,risperidone,SEDATION,13,1758,0.7395,196,7380,2.6558,0.2828,0.1625,0.4921,0.0000,True
xanomeline-trospium,risperidone,ELECTROCARDIOGRAM QT PROLONGED,0,1758,0.0000,78,7380,1.0569,0.0265,0.0016,0.4268,0.0105,False
xanomeline-trospium,risperidone,URINARY RETENTION,112,1758,6.3709,68,7380,0.9214,7.2940,5.3760,9.8962,0.0000,True
xanomeline-trospium,risperidone,DRY MOUTH,45,1758,2.5597,24,7380,0.3252,7.9732,4.8653,13.0664,0.0000,True
xanomeline-trospium,risperidone,VISION BLURRED,68,1758,3.8680,49,7380,0.6640,6.0015,4.1478,8.6838,0.0000,True
xanomeline-trospium,risperidone,INSOMNIA,37,1758,2.1047,131,7380,1.7751,1.2009,0.8323,1.7327,0.3277,False
xanomeline-trospium,risperidone,HEADACHE,35,1758,1.9909,83,7380,1.1247,1.8001,1.2113,2.6753,0.0036,False
xanomeline-trospium,risperidone,DIZZINESS,79,1758,4.4937,76,7380,1.0298,4.5198,3.2874,6.2141,0.0000,True
xanomeline-trospium,aripiprazole,NAUSEA,365,1758,20.7622,261,6707,3.8915,6.4660,5.4607,7.6563,0.0000,True
xanomeline-trospium,aripiprazole,VOMITING,297,1758,16.8942,195,6707,2.9074,6.7809,5.6123,8.1929,0.0000,True
xanomeline-trospium,aripiprazole,CONSTIPATION,134,1758,7.6223,127,6707,1.8935,4.2732,3.3337,5.4774,0.0000,True
