pt,a,n_reaction,n_drug,N,b,c,d,expected,prr,prr_lower95,prr_upper95,prr_chi2,ror,ror_lower95,ror_upper95,ic,ic025,ic975,signal_prr,signal_ror,signal_bcpnn,n_methods_signal
AKATHISIA,8,491,1737,1432164,1729,483,1429944,0.5955,14.4690,7.3558,28.4610,80.1772,14.5352,7.3653,28.6849,3.8334,2.8635,4.8033,True,True,True,3
FATIGUE,32,56762,1737,1432164,1705,56730,1373697,68.8438,0.4715,0.3354,0.6629,20.0026,0.4614,0.3261,0.6529,-1.0833,-1.5793,-0.5873,False,False,False,0
THERAPY INTERRUPTED,11,15609,1737,1432164,1726,15598,1414829,18.9314,0.6068,0.3410,1.0797,2.9529,0.6042,0.3382,1.0792,-0.7196,-1.5534,0.1142,False,False,False,0
HYPERSENSITIVITY,4,10646,1737,1432164,1733,10642,1419785,12.9120,0.3480,0.1383,0.8758,5.5281,0.3463,0.1373,0.8737,-1.5212,-2.8542,-0.1882,False,False,False,0
NIGHT SWEATS,8,1918,1737,1432164,1729,1910,1428517,2.3262,3.6617,1.8698,7.1711,11.5363,3.6748,1.8703,7.2205,1.8687,0.8988,2.8386,True,True,True,3
DRUG INTERACTION,5,4742,1737,1432164,1732,4737,1425690,5.7513,0.9555,0.4146,2.2020,0.0110,0.9554,0.4134,2.2076,-0.0650,-1.2708,1.1407,False,False,False,0
VISUAL IMPAIRMENT,9,10076,1737,1432164,1728,10067,1420360,12.2207,0.7766,0.4118,1.4647,0.6107,0.7754,0.4097,1.4675,-0.3638,-1.2812,0.5536,False,False,False,0
CHEST DISCOMFORT,3,5657,1737,1432164,1734,5654,1424773,6.8611,0.5094,0.1788,1.4513,1.6551,0.5084,0.1781,1.4516,-0.9716,-2.4831,0.5398,False,False,False,0
TREMOR,27,8149,1737,1432164,1710,8122,1422305,9.8835,2.7865,1.9220,4.0399,28.1302,2.8152,1.9303,4.1059,1.4758,0.9366,2.0150,True,True,True,3
UNRESPONSIVE TO STIMULI,3,1393,1737,1432164,1734,1390,1429037,1.6895,2.0716,0.7264,5.9077,0.3897,2.0738,0.7257,5.9264,1.0498,-0.4616,2.5613,False,False,False,0
MEMORY IMPAIRMENT,7,8306,1737,1432164,1730,8299,1422128,10.0739,0.7437,0.3640,1.5195,0.6623,0.7426,0.3624,1.5220,-0.4262,-1.4587,0.6064,False,False,False,0
SALIVARY HYPERSECRETION,23,412,1737,1432164,1714,389,1430038,0.4997,49.6566,32.8339,75.0984,970.0747,50.3235,33.0973,76.5155,5.5533,4.9700,6.1366,True,True,True,3
NAUSEA,361,51658,1737,1432164,1376,51297,1379130,62.6534,5.8000,5.2895,6.3598,1470.6934,7.0606,6.2862,7.9304,2.5281,2.3794,2.6768,True,True,True,3
WEIGHT DECREASED,31,16235,1737,1432164,1706,16204,1414223,19.6906,1.5999,1.1315,2.2622,6.0093,1.6110,1.1321,2.2924,0.6774,0.1736,1.1812,False,True,True,2
INSOMNIA,36,14542,1737,1432164,1701,14506,1415921,17.6373,2.0708,1.5016,2.8558,18.2989,2.0938,1.5079,2.9074,1.0488,0.5808,1.5168,True,True,True,3
MUSCLE TWITCHING,3,1012,1737,1432164,1734,1009,1429418,1.2274,2.8535,1.0001,8.1415,1.3220,2.8572,0.9993,8.1694,1.5106,-0.0008,3.0221,False,False,False,0
PRODUCT ADMINISTRATION ERROR,5,2485,1737,1432164,1732,2480,1427947,3.0139,1.8249,0.7915,4.2075,0.7349,1.8275,0.7905,4.2247,0.8671,-0.3386,2.0728,False,False,False,0
GASTROINTESTINAL DISORDER,29,8251,1737,1432164,1708,8222,1422205,10.0072,2.9528,2.0633,4.2257,34.4133,2.9865,2.0740,4.3005,1.5592,1.0386,2.0798,True,True,True,3
PARANOIA,13,769,1737,1432164,1724,756,1429671,0.9327,14.6873,8.5922,25.1059,143.7118,14.7944,8.6193,25.3937,3.8541,3.0845,4.6237,True,True,True,3
DRUG INEFFECTIVE,43,89626,1737,1432164,1694,89583,1340844,108.7029,0.3996,0.2980,0.5360,41.7721,0.3842,0.2844,0.5192,-1.3217,-1.7505,-0.8930,False,False,False,0
PRURITUS,7,43876,1737,1432164,1730,43869,1386558,53.2150,0.1407,0.0689,0.2874,40.5624,0.1370,0.0669,0.2807,-2.8273,-3.8598,-1.7948,False,False,False,0
PRODUCT DOSE OMISSION ISSUE,15,73129,1737,1432164,1722,73114,1357313,88.6945,0.1745,0.1063,0.2864,63.7308,0.1671,0.1013,0.2755,-2.5170,-3.2352,-1.7988,False,False,False,0
ALOPECIA,3,11067,1737,1432164,1734,11064,1419363,13.4226,0.2603,0.0914,0.7416,7.4014,0.2589,0.0907,0.7389,-1.9397,-3.4512,-0.4283,False,False,False,0
GENERAL PHYSICAL HEALTH DETERIORATION,3,7635,1737,1432164,1734,7632,1422795,9.2601,0.3774,0.1325,1.0751,3.6066,0.3762,0.1318,1.0738,-1.4042,-2.9156,0.1073,False,False,False,0
HOT FLUSH,5,9145,1737,1432164,1732,9140,1421287,11.0915,0.4952,0.2149,1.1410,2.8404,0.4936,0.2137,1.1404,-1.0124,-2.2182,0.1933,False,False,False,0
MIGRAINE,3,7588,1737,1432164,1734,7585,1422842,9.2031,0.3798,0.1333,1.0818,3.5573,0.3785,0.1326,1.0805,-1.3953,-2.9067,0.1162,False,False,False,0
THERAPEUTIC RESPONSE UNEXPECTED,8,3041,1737,1432164,1729,3033,1427394,3.6883,2.3062,1.1782,4.5139,3.9525,2.3126,1.1776,4.5414,1.2039,0.2340,2.1737,False,True,True,2
COMPLETED SUICIDE,6,4936,1737,1432164,1731,4930,1425497,5.9866,1.0850,0.5035,2.3383,0.0397,1.0853,0.5022,2.3458,0.1181,-0.9910,1.2272,False,False,False,0
LIMB DISCOMFORT,3,1847,1737,1432164,1734,1844,1428583,2.2401,1.5617,0.5478,4.4522,0.0302,1.5629,0.5471,4.4648,0.6430,-0.8685,2.1544,False,False,False,0
POLLAKIURIA,4,3062,1737,1432164,1733,3058,1427369,3.7137,1.2109,0.4809,3.0490,0.0123,1.2115,0.4800,3.0577,0.2764,-1.0566,1.6094,False,False,False,0
FEELING ABNORMAL,18,13533,1737,1432164,1719,13515,1416912,16.4135,1.1266,0.7158,1.7731,0.0727,1.1279,0.7131,1.7839,0.1722,-0.4852,0.8296,False,False,False,0
NERVOUSNESS,3,2178,1737,1432164,1734,2175,1428252,2.6416,1.3241,0.4645,3.7742,0.0076,1.3248,0.4638,3.7841,0.4052,-1.1063,1.9167,False,False,False,0
VISION BLURRED,68,10078,1737,1432164,1669,10010,1420417,12.2231,5.6318,4.4616,7.1090,252.0576,5.8219,4.5686,7.4190,2.4860,2.1444,2.8277,True,True,True,3
DECREASED APPETITE,22,13833,1737,1432164,1715,13811,1416616,16.7774,1.3408,0.8890,2.0220,1.3440,1.3453,0.8872,2.0397,0.4229,-0.1732,1.0191,False,False,False,0
HEART RATE INCREASED,35,6760,1737,1432164,1702,6725,1423702,8.1989,4.3443,3.1343,6.0214,84.8745,4.4140,3.1631,6.1597,2.1138,1.6392,2.5884,True,True,True,3
ABDOMINAL PAIN,14,10430,1737,1432164,1723,10416,1420011,12.6500,1.1457,0.6860,1.9135,0.0576,1.1469,0.6837,1.9238,0.1964,-0.5462,0.9390,False,False,False,0
THERAPY NON-RESPONDER,8,4290,1737,1432164,1729,4282,1426145,5.2031,1.6336,0.8348,3.1965,1.0182,1.6367,0.8337,3.2132,0.7075,-0.2624,1.6774,False,False,False,0
PRODUCT USE COMPLAINT,4,3261,1737,1432164,1733,3257,1427170,3.9551,1.1370,0.4516,2.8627,0.0526,1.1373,0.4506,2.8704,0.1856,-1.1474,1.5186,False,False,False,0
INTRUSIVE THOUGHTS,4,120,1737,1432164,1733,116,1430311,0.1455,31.7909,12.4128,81.4209,77.4141,31.8708,12.4148,81.8180,4.9440,3.6110,6.2770,True,True,True,3
URTICARIA,7,12674,1737,1432164,1730,12667,1417760,15.3717,0.4873,0.2385,0.9955,4.0719,0.4851,0.2367,0.9940,-1.0358,-2.0683,-0.0033,False,False,False,0
DYSPNOEA,9,33342,1737,1432164,1728,33333,1397094,40.4388,0.2346,0.1244,0.4423,24.2642,0.2304,0.1217,0.4359,-2.0902,-3.0076,-1.1728,False,False,False,0
FLUSHING,4,4617,1737,1432164,1733,4613,1425814,5.5997,0.8028,0.3189,2.0209,0.2169,0.8023,0.3179,2.0244,-0.3160,-1.6490,1.0170,False,False,False,0
RASH,17,35788,1737,1432164,1720,35771,1394656,43.4055,0.4026,0.2526,0.6418,15.8765,0.3966,0.2476,0.6352,-1.3110,-1.9869,-0.6350,False,False,False,0
TACHYCARDIA,24,3312,1737,1432164,1713,3288,1427139,4.0170,6.1318,4.1322,9.0988,94.8306,6.2051,4.1583,9.2594,2.6080,2.0367,3.1792,True,True,True,3
HEPATIC ENZYME INCREASED,7,3655,1737,1432164,1730,3648,1426779,4.4330,1.6919,0.8277,3.4581,0.9675,1.6949,0.8266,3.4749,0.7580,-0.2745,1.7905,False,False,False,0
CEREBROVASCULAR ACCIDENT,3,7561,1737,1432164,1734,7558,1422869,9.1704,0.3811,0.1338,1.0857,3.5291,0.3799,0.1331,1.0844,-1.3901,-2.9016,0.1213,False,False,False,0
