pt,a,n_reaction,n_drug,N,b,c,d,expected,prr,prr_lower95,prr_upper95,prr_chi2,ror,ror_lower95,ror_upper95,ic,ic025,ic975,signal_prr,signal_ror,signal_bcpnn,n_methods_signal
FEELING OF BODY TEMPERATURE CHANGE,3,372,1737,1432164,1734,369,1430058,0.4512,7.7960,2.7238,22.3130,9.3175,7.8097,2.7229,22.3993,2.9532,1.4418,4.4647,True,True,True,3
DELUSION,8,1039,1737,1432164,1729,1031,1429396,1.2602,6.7821,3.4587,13.2990,30.9576,6.8105,3.4618,13.3987,2.7528,1.7829,3.7226,True,True,True,3
DYSPHONIA,7,3998,1737,1432164,1730,3991,1426436,4.8490,1.5465,0.7567,3.1607,0.5644,1.5488,0.7555,3.1753,0.6286,-0.4039,1.6611,False,False,False,0
ACCIDENTAL OVERDOSE,4,3478,1737,1432164,1733,3474,1426953,4.2183,1.0659,0.4234,2.6838,0.0189,1.0661,0.4224,2.6906,0.0926,-1.2403,1.4256,False,False,False,0
CHILLS,8,5617,1737,1432164,1729,5609,1424818,6.8126,1.2471,0.6374,2.4400,0.0697,1.2483,0.6360,2.4504,0.3187,-0.6512,1.2886,False,False,False,0
GASTROOESOPHAGEAL REFLUX DISEASE,41,5268,1737,1432164,1696,5227,1425200,6.3893,6.5339,4.8316,8.8358,183.0021,6.6692,4.8957,9.0852,2.6988,2.2599,3.1378,True,True,True,3
EMOTIONAL DISORDER,3,2651,1737,1432164,1734,2648,1427779,3.2153,1.0876,0.3816,3.0997,0.0253,1.0878,0.3809,3.1068,0.1217,-1.3897,1.6332,False,False,False,0
SEDATION,13,2729,1737,1432164,1724,2716,1427711,3.3099,4.0902,2.4010,6.9677,25.5970,4.1144,2.4052,7.0380,2.0274,1.2578,2.7970,True,True,True,3
MOVEMENT DISORDER,11,1369,1737,1432164,1726,1358,1429069,1.6604,6.9671,3.9067,12.4250,47.1626,7.0069,3.9140,12.5438,2.7911,1.9573,3.6249,True,True,True,3
PRODUCT STORAGE ERROR,4,16382,1737,1432164,1733,16378,1414049,19.8689,0.2261,0.0899,0.5691,12.0402,0.2241,0.0888,0.5654,-2.1430,-3.4760,-0.8100,False,False,False,0
CONDITION AGGRAVATED,18,26918,1737,1432164,1719,26900,1403527,32.6475,0.5660,0.3597,0.8907,6.2557,0.5613,0.3550,0.8877,-0.8199,-1.4773,-0.1625,False,False,False,0
MUSCULAR WEAKNESS,8,5155,1737,1432164,1729,5147,1425280,6.2522,1.3591,0.6946,2.6591,0.2502,1.3608,0.6932,2.6713,0.4425,-0.5273,1.4124,False,False,False,0
THINKING ABNORMAL,6,786,1737,1432164,1731,780,1429647,0.9533,6.8542,3.1719,14.8114,21.7234,6.8762,3.1729,14.9016,2.7681,1.6590,3.8772,True,True,True,3
MENTAL DISORDER,5,2253,1737,1432164,1732,2248,1428179,2.7326,2.0132,0.8731,4.6421,1.1464,2.0164,0.8722,4.6619,1.0084,-0.1973,2.2142,False,False,False,0
PALPITATIONS,12,6714,1737,1432164,1725,6702,1423725,8.1431,1.5349,0.8830,2.6681,1.3921,1.5388,0.8817,2.6856,0.6178,-0.1820,1.4175,False,False,False,0
HALLUCINATION,21,5583,1737,1432164,1716,5562,1424865,6.7713,3.1812,2.0883,4.8460,27.9772,3.2085,2.0952,4.9133,1.6663,1.0565,2.2761,True,True,True,3
ORTHOSTATIC HYPOTENSION,3,635,1737,1432164,1734,632,1429795,0.7702,4.5543,1.5945,13.0082,3.8918,4.5615,1.5937,13.0562,2.1826,0.6711,3.6940,False,True,True,2
"HALLUCINATION, VISUAL",12,1334,1737,1432164,1725,1322,1429105,1.6179,7.7791,4.4658,13.5507,60.4872,7.8282,4.4761,13.6907,2.9487,2.1490,3.7485,True,True,True,3
IMPAIRED GASTRIC EMPTYING,3,4115,1737,1432164,1734,4112,1426315,4.9909,0.7005,0.2458,1.9958,0.4472,0.6998,0.2451,1.9983,-0.5125,-2.0240,0.9989,False,False,False,0
PSYCHOTIC DISORDER,32,1049,1737,1432164,1705,1017,1429410,1.2723,26.2885,18.5981,37.1588,719.5708,26.7704,18.8182,38.0828,4.6738,4.1778,5.1699,True,True,True,3
LOSS OF THERAPEUTIC RESPONSE,3,473,1737,1432164,1734,470,1429957,0.5737,6.1224,2.1414,17.5046,6.4783,6.1328,2.1405,17.5711,2.6071,1.0956,4.1186,True,True,True,3
VIOLENCE-RELATED SYMPTOM,3,38,1737,1432164,1734,35,1430392,0.0461,81.1439,27.0892,243.0608,130.8175,81.3056,27.0885,244.0371,6.2275,4.7161,7.7390,True,True,True,3
DYSSTASIA,3,1405,1737,1432164,1734,1402,1429025,1.7041,2.0539,0.7202,5.8571,0.3726,2.0560,0.7195,5.8756,1.0375,-0.4740,2.5489,False,False,False,0
DROOLING,38,597,1737,1432164,1699,559,1429868,0.7241,56.6340,40.9948,78.2393,1870.9149,57.8943,41.6209,80.5304,5.7310,5.2752,6.1867,True,True,True,3
HYPOAESTHESIA,6,6772,1737,1432164,1731,6766,1423661,8.2134,0.7906,0.3669,1.7036,0.3596,0.7898,0.3655,1.7068,-0.3381,-1.4472,0.7710,False,False,False,0
FEELING HOT,6,3056,1737,1432164,1731,3050,1427377,3.7065,1.7537,0.8135,3.7806,0.8708,1.7565,0.8125,3.7977,0.8097,-0.2994,1.9188,False,False,False,0
OVERDOSE,5,6541,1737,1432164,1732,6536,1423891,7.9333,0.6925,0.3005,1.5958,0.7507,0.6915,0.2993,1.5978,-0.5290,-1.7347,0.6767,False,False,False,0
APATHY,4,579,1737,1432164,1733,575,1429852,0.7022,6.4355,2.5484,16.2517,11.1645,6.4496,2.5479,16.3263,2.6782,1.3452,4.0112,True,True,True,3
BLOOD CREATININE INCREASED,4,2097,1737,1432164,1733,2093,1428334,2.5433,1.7691,0.7024,4.4559,0.3608,1.7711,0.7015,4.4716,0.8224,-0.5105,2.1554,False,False,False,0
BRAIN FOG,7,5607,1737,1432164,1730,5600,1424827,6.8004,1.1022,0.5394,2.2522,0.0133,1.1026,0.5379,2.2601,0.1407,-0.8918,1.1732,False,False,False,0
INTESTINAL OBSTRUCTION,5,2791,1737,1432164,1732,2786,1427641,3.3851,1.6245,0.7047,3.7451,0.3684,1.6265,0.7036,3.7596,0.6996,-0.5062,1.9053,False,False,False,0
PRODUCT SUPPLY ISSUE,4,759,1737,1432164,1733,755,1429672,0.9206,4.9022,1.9429,12.3690,7.2404,4.9124,1.9423,12.4243,2.2880,0.9550,3.6210,True,True,True,3
GAIT DISTURBANCE,7,9744,1737,1432164,1730,9737,1420690,11.8180,0.6339,0.3103,1.2951,1.5904,0.6323,0.3086,1.2959,-0.6565,-1.6890,0.3760,False,False,False,0
