pt,a,n_reaction,n_drug,N,b,c,d,expected,prr,prr_lower95,prr_upper95,prr_chi2,ror,ror_lower95,ror_upper95,ic,ic025,ic975,signal_prr,signal_ror,signal_bcpnn,n_methods_signal
SOMNOLENCE,42,19175,1749,2154081,1707,19133,2133199,15.5691,2.7319,2.0293,3.6778,43.6123,2.7750,2.0461,3.7635,1.4483,1.0146,1.8821,True,True,True,3
ADVERSE DRUG REACTION,13,12641,1749,2154081,1736,12628,2139704,10.2638,1.3148,0.7726,2.2375,0.4905,1.3172,0.7708,2.2509,0.3949,-0.3747,1.1645,False,False,False,0
EXTRA DOSE ADMINISTERED,3,9168,1749,2154081,1746,9165,2143167,7.4439,0.4697,0.1649,1.3379,2.1002,0.4686,0.1642,1.3376,-1.0892,-2.6007,0.4223,False,False,False,0
AGITATION,16,5360,1749,2154081,1733,5344,2146988,4.3520,3.7971,2.3473,6.1424,28.6506,3.8237,2.3529,6.2138,1.9222,1.2260,2.6183,True,True,True,3
MANIA,15,1254,1749,2154081,1734,1239,2151093,1.0182,15.3800,9.3402,25.3256,178.7629,15.5085,9.3768,25.6499,3.9272,3.2090,4.6454,True,True,True,3
AMPHETAMINES POSITIVE,3,25,1749,2154081,1746,22,2152310,0.0203,191.3185,62.0978,589.4375,303.1718,191.6999,62.1002,591.7670,7.4008,5.8894,8.9123,True,True,True,3
ABDOMINAL PAIN UPPER,34,22699,1749,2154081,1715,22665,2129667,18.4304,1.8721,1.3450,2.6057,12.4630,1.8896,1.3486,2.6476,0.9041,0.4227,1.3855,False,True,True,2
INCREASED APPETITE,5,2663,1749,2154081,1744,2658,2149674,2.1622,2.5445,1.1037,5.8663,2.5328,2.5493,1.1029,5.8930,1.3462,0.1405,2.5520,False,True,True,2
HYPERTENSION,25,22532,1749,2154081,1724,22507,2129825,18.2948,1.3934,0.9477,2.0489,2.1287,1.3992,0.9462,2.0692,0.4786,-0.0813,1.0386,False,False,False,0
CONSTIPATION,129,27669,1749,2154081,1620,27540,2124792,22.4658,5.7832,4.8979,6.8286,507.3858,6.1655,5.1530,7.3768,2.5267,2.2782,2.7752,True,True,True,3
ANXIETY,14,24347,1749,2154081,1735,24333,2127999,19.7685,0.7329,0.4389,1.2238,1.4213,0.7307,0.4357,1.2253,-0.4476,-1.1902,0.2950,False,False,False,0
DYSPHAGIA,16,9629,1749,2154081,1733,9613,2142719,7.8182,2.1109,1.3054,3.4136,7.5877,2.1215,1.3059,3.4465,1.0771,0.3809,1.7732,True,True,True,3
TASTE DISORDER,3,4568,1749,2154081,1746,4565,2147767,3.7090,0.9429,0.3309,2.6864,0.0118,0.9428,0.3302,2.6917,-0.0842,-1.5957,1.4272,False,False,False,0
ABDOMINAL DISTENSION,4,11881,1749,2154081,1745,11877,2140455,9.6467,0.4660,0.1852,1.1727,2.7634,0.4646,0.1842,1.1720,-1.1006,-2.4336,0.2324,False,False,False,0
DRY EYE,5,9009,1749,2154081,1744,9004,2143328,7.3148,0.7512,0.3260,1.7309,0.4525,0.7504,0.3248,1.7337,-0.4119,-1.6176,0.7938,False,False,False,0
INITIAL INSOMNIA,3,1391,1749,2154081,1746,1388,2150944,1.1294,3.1002,1.0871,8.8411,1.6657,3.1044,1.0863,8.8717,1.6308,0.1194,3.1423,False,True,True,2
FLATULENCE,3,6151,1749,2154081,1746,6148,2146184,4.9943,0.7001,0.2458,1.9945,0.4487,0.6995,0.2450,1.9970,-0.5135,-2.0249,0.9980,False,False,False,0
AKATHISIA,8,1101,1749,2154081,1741,1093,2151239,0.8940,9.5603,4.8762,18.7440,48.8813,9.6021,4.8816,18.8874,3.2481,2.2782,4.2180,True,True,True,3
EXTRAPYRAMIDAL DISORDER,4,1012,1749,2154081,1745,1008,2151324,0.8217,5.4879,2.1765,13.8374,8.7412,5.4995,2.1759,13.8995,2.4521,1.1192,3.7851,True,True,True,3
HICCUPS,4,869,1749,2154081,1745,865,2151467,0.7056,6.3947,2.5353,16.1291,11.0806,6.4086,2.5347,16.2026,2.6718,1.3388,4.0048,True,True,True,3
DYSPHONIA,7,6326,1749,2154081,1742,6319,2146013,5.1364,1.4597,0.7144,2.9826,0.3634,1.4616,0.7131,2.9958,0.5456,-0.4869,1.5781,False,False,False,0
GASTROOESOPHAGEAL REFLUX DISEASE,38,9064,1749,2154081,1711,9026,2143306,7.3595,5.2458,3.8357,7.1742,124.0617,5.3413,3.8783,7.3563,2.3867,1.9310,2.8424,True,True,True,3
MOVEMENT DISORDER,11,2846,1749,2154081,1738,2835,2149497,2.3108,4.9882,2.8006,8.8845,29.0835,5.0145,2.8047,8.9656,2.3145,1.4807,3.1483,True,True,True,3
EMOTIONAL DISORDER,3,3290,1749,2154081,1746,3287,2149045,2.6713,1.3094,0.4595,3.7313,0.0110,1.3100,0.4588,3.7409,0.3892,-1.1223,1.9006,False,False,False,0
ACCIDENTAL OVERDOSE,4,4969,1749,2154081,1745,4965,2147367,4.0346,1.1146,0.4428,2.8058,0.0539,1.1149,0.4418,2.8132,0.1570,-1.1760,1.4899,False,False,False,0
CHILLS,9,10994,1749,2154081,1740,10985,2141347,8.9265,1.0636,0.5639,2.0059,0.0205,1.0639,0.5622,2.0135,0.0893,-0.8281,1.0068,False,False,False,0
SEDATION,13,3869,1749,2154081,1736,3856,2148476,3.1414,4.3054,2.5283,7.3315,27.9529,4.3311,2.5329,7.4058,2.1029,1.3333,2.8725,True,True,True,3
WEIGHT INCREASED,11,25131,1749,2154081,1738,25120,2127212,20.4050,0.5630,0.3164,1.0018,3.9354,0.5602,0.3136,1.0005,-0.8277,-1.6616,0.0061,False,False,False,0
URINARY TRACT INFECTION,13,20052,1749,2154081,1736,20039,2132293,16.2812,0.8285,0.4869,1.4098,0.4799,0.8272,0.4841,1.4134,-0.2707,-1.0403,0.4989,False,False,False,0
PERIPHERAL SWELLING,5,19114,1749,2154081,1744,19109,2133223,15.5196,0.3540,0.1537,0.8155,6.5319,0.3519,0.1524,0.8129,-1.4970,-2.7028,-0.2913,False,False,False,0
ANGER,15,2226,1749,2154081,1734,2211,2150121,1.8074,8.6202,5.2421,14.1751,89.2998,8.6883,5.2602,14.3503,3.0995,2.3813,3.8178,True,True,True,3
SEDATION COMPLICATION,3,397,1749,2154081,1746,394,2151938,0.3223,10.9117,3.8136,31.2210,14.7263,10.9316,3.8126,31.3433,3.4385,1.9270,4.9499,True,True,True,3
