pt,a,n_reaction,n_drug,N,b,c,d,expected,prr,prr_lower95,prr_upper95,prr_chi2,ror,ror_lower95,ror_upper95,ic,ic025,ic975,signal_prr,signal_ror,signal_bcpnn,n_methods_signal
DISCOMFORT,3,9490,1749,2154081,1746,9487,2142845,7.7054,0.4537,0.1593,1.2924,2.3072,0.4526,0.1586,1.2920,-1.1390,-2.6505,0.3725,False,False,False,0
THERAPEUTIC RESPONSE DECREASED,4,7206,1749,2154081,1745,7202,2145130,5.8509,0.7684,0.3053,1.9341,0.3132,0.7678,0.3043,1.9372,-0.3792,-1.7122,0.9537,False,False,False,0
PHARYNGEAL SWELLING,3,1891,1749,2154081,1746,1888,2150444,1.5354,2.2794,0.7996,6.4981,0.6070,2.2820,0.7988,6.5190,1.1880,-0.3235,2.6994,False,False,False,0
DYSPEPSIA,65,11113,1749,2154081,1684,11048,2141284,9.0232,7.2914,5.7452,9.2537,343.1336,7.5360,5.8835,9.6527,2.8593,2.5099,3.2087,True,True,True,3
DYSKINESIA,10,3533,1749,2154081,1739,3523,2148809,2.8686,3.6651,2.0035,6.7047,15.3675,3.6812,2.0050,6.7587,1.8713,0.9987,2.7440,True,True,True,3
DRUG INTOLERANCE,9,11585,1749,2154081,1740,11576,2140756,9.4064,1.0093,0.5352,1.9035,0.0009,1.0093,0.5333,1.9102,0.0138,-0.9036,0.9312,False,False,False,0
MUSCLE SPASMS,3,17329,1749,2154081,1746,17326,2135006,14.0702,0.2484,0.0872,0.7076,8.0118,0.2469,0.0865,0.7048,-2.0077,-3.5191,-0.4962,False,False,False,0
SUICIDAL IDEATION,18,7953,1749,2154081,1731,7935,2144397,6.4574,2.8673,1.8213,4.5139,18.9689,2.8872,1.8251,4.5674,1.5180,0.8606,2.1754,True,True,True,3
CIRCUMSTANCE OR INFORMATION CAPABLE OF LEADING TO MEDICATION ERROR,3,3606,1749,2154081,1746,3603,2148729,2.9279,1.1946,0.4192,3.4039,0.0627,1.1950,0.4185,3.4122,0.2569,-1.2546,1.7683,False,False,False,0
URINARY INCONTINENCE,8,2667,1749,2154081,1741,2659,2149673,2.1655,3.9309,2.0080,7.6951,13.1684,3.9452,2.0087,7.7484,1.9721,1.0022,2.9420,True,True,True,3
HAEMATOCHEZIA,3,7614,1749,2154081,1746,7611,2144721,6.1822,0.5655,0.1985,1.6111,1.1687,0.5647,0.1978,1.6120,-0.8213,-2.3327,0.6902,False,False,False,0
SCHIZOPHRENIA,13,1431,1749,2154081,1736,1418,2150914,1.1619,11.7051,6.8627,19.9644,110.8038,11.7883,6.8831,20.1892,3.5375,2.7679,4.3071,True,True,True,3
TREATMENT NONCOMPLIANCE,43,7815,1749,2154081,1706,7772,2144560,6.3454,6.8834,5.1285,9.2387,206.9200,7.0333,5.2012,9.5107,2.7767,2.3480,3.2055,True,True,True,3
INSURANCE ISSUE,3,5167,1749,2154081,1746,5164,2147168,4.1953,0.8335,0.2926,2.3747,0.1156,0.8332,0.2918,2.3787,-0.2620,-1.7734,1.2495,False,False,False,0
URINARY RETENTION,108,3453,1749,2154081,1641,3345,2148987,2.8037,39.8878,33.1390,48.0109,3919.1167,42.4582,34.8585,51.7148,5.2736,5.0022,5.5451,True,True,True,3
PSYCHIATRIC DECOMPENSATION,4,244,1749,2154081,1745,240,2152092,0.1981,23.0128,9.0673,58.4065,55.0818,23.0695,9.0682,58.6888,4.5021,3.1692,5.8351,True,True,True,3
OVERDOSE,5,13650,1749,2154081,1744,13645,2138687,11.0831,0.4957,0.2152,1.1421,2.8327,0.4941,0.2139,1.1414,-1.0113,-2.2170,0.1944,False,False,False,0
HYPOAESTHESIA,6,14081,1749,2154081,1743,14075,2138257,11.4330,0.5680,0.2636,1.2236,2.1442,0.5664,0.2621,1.2237,-0.8152,-1.9243,0.2939,False,False,False,0
INTESTINAL OBSTRUCTION,5,5228,1749,2154081,1744,5223,2147109,4.2449,1.2950,0.5619,2.9844,0.0154,1.2959,0.5609,2.9944,0.3732,-0.8326,1.5789,False,False,False,0
DYSSTASIA,3,2348,1749,2154081,1746,2345,2149987,1.9065,1.8353,0.6439,5.2310,0.1851,1.8370,0.6431,5.2467,0.8757,-0.6357,2.3872,False,False,False,0
FEELING HOT,6,5533,1749,2154081,1743,5527,2146805,4.4925,1.4463,0.6711,3.1168,0.2267,1.4480,0.6700,3.1293,0.5324,-0.5767,1.6415,False,False,False,0
BLOOD CREATININE INCREASED,4,5513,1749,2154081,1745,5509,2146823,4.4763,1.0046,0.3991,2.5286,0.0001,1.0046,0.3981,2.5347,0.0071,-1.3259,1.3401,False,False,False,0
PRODUCT SUPPLY ISSUE,4,1388,1749,2154081,1745,1384,2150948,1.1270,3.9975,1.5863,10.0738,5.0040,4.0053,1.5856,10.1173,1.9965,0.6635,3.3295,True,True,True,3
BRAIN FOG,7,7472,1749,2154081,1742,7465,2144867,6.0669,1.2356,0.6047,2.5245,0.0311,1.2366,0.6034,2.5344,0.3054,-0.7271,1.3380,False,False,False,0
APATHY,4,1500,1749,2154081,1745,1496,2150836,1.2179,3.6983,1.4678,9.3188,4.2825,3.7053,1.4670,9.3586,1.8846,0.5516,3.2176,True,True,True,3
DROOLING,38,794,1749,2154081,1711,756,2151576,0.6447,62.5926,45.4329,86.2335,2109.4286,63.9782,46.1211,88.7490,5.8988,5.4431,6.3545,True,True,True,3
FATIGUE,31,86300,1749,2154081,1718,86269,2066063,70.0710,0.4491,0.3177,0.6348,22.1358,0.4390,0.3086,0.6245,-1.1539,-1.6577,-0.6501,False,False,False,0
UNRESPONSIVE TO STIMULI,3,2460,1749,2154081,1746,2457,2149875,1.9974,1.7516,0.6146,4.9924,0.1267,1.7532,0.6138,5.0072,0.8085,-0.7029,2.3200,False,False,False,0
NIGHT SWEATS,8,4350,1749,2154081,1741,4342,2147990,3.5320,2.4074,1.2303,4.7108,4.4706,2.4143,1.2298,4.7397,1.2664,0.2965,2.2363,True,True,True,3
CHEST DISCOMFORT,3,11481,1749,2154081,1746,11478,2140854,9.3220,0.3750,0.1317,1.0682,3.6585,0.3738,0.1309,1.0669,-1.4138,-2.9252,0.0977,False,False,False,0
TREMOR,24,13744,1749,2154081,1725,13720,2138612,11.1594,2.1962,1.4817,3.2553,13.7456,2.2132,1.4848,3.2988,1.1341,0.5628,1.7053,True,True,True,3
HYPERSENSITIVITY,4,18357,1749,2154081,1745,18353,2133979,14.9049,0.3016,0.1198,0.7589,7.3319,0.2998,0.1188,0.7561,-1.7282,-3.0612,-0.3953,False,False,False,0
VISUAL IMPAIRMENT,9,14606,1749,2154081,1740,14597,2137735,11.8593,0.8004,0.4244,1.5095,0.4729,0.7993,0.4224,1.5127,-0.3205,-1.2379,0.5969,False,False,False,0
THERAPY INTERRUPTED,11,17854,1749,2154081,1738,17843,2134489,14.4965,0.7927,0.4455,1.4104,0.6251,0.7913,0.4430,1.4134,-0.3345,-1.1684,0.4993,False,False,False,0
MEMORY IMPAIRMENT,4,13078,1749,2154081,1745,13074,2139258,10.6186,0.4233,0.1682,1.0653,3.5501,0.4218,0.1672,1.0641,-1.2391,-2.5721,0.0939,False,False,False,0
DRUG INTERACTION,3,14068,1749,2154081,1746,14065,2138267,11.4225,0.3060,0.1074,0.8717,5.5355,0.3047,0.1067,0.8696,-1.7069,-3.2184,-0.1955,False,False,False,0
SALIVARY HYPERSECRETION,23,1022,1749,2154081,1726,999,2151333,0.8298,28.9172,19.2611,43.4141,566.6379,29.2972,19.4090,44.2231,4.8226,4.2393,5.4059,True,True,True,3
TACHYCARDIA,24,8885,1749,2154081,1725,8861,2143471,7.2142,3.4004,2.2937,5.0412,36.9474,3.4345,2.3038,5.1202,1.7634,1.1921,2.3347,True,True,True,3
DYSPNOEA,9,56380,1749,2154081,1740,56371,2095961,45.7776,0.2073,0.1099,0.3908,29.5458,0.2029,0.1073,0.3840,-2.2691,-3.1865,-1.3516,False,False,False,0
URTICARIA,7,20637,1749,2154081,1742,20630,2131702,16.7562,0.4471,0.2189,0.9133,5.1668,0.4447,0.2170,0.9113,-1.1602,-2.1927,-0.1277,False,False,False,0
